Château / Entreprise,Nom du Contact,Email,Téléphone,Statut de la demande,Motif de refus,Membre de SDC,Catégorie,Apparaît dans la bible ? ,type de vins princiapl,Pôle concerné,Région,Poste,Nombre de bouteilles,Logistique,Suivi des étapes,Contexte de la demande/commentaires,Région/Appellation,Aspect RSE,Possible de démarcher à nouveau ?,"Si oui, quel type ?"
Domaine Jean-Marc Millot,https://jean-marc-millot.com/contact,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Henri Gouges,,domaine@gouges.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de l’Arlot,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Chevillon-Chezeaux,,chevillon.chezeaux@orange.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Robert Chevillon,,detb@domainerobertchevillon.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de Montille,,contact@demontille.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Patrice Rion,,contact@patricerion.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Jean-Jacques Confuron,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Chicotot,,chicotot@aol.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Tollot-Beaut,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Chantal Lescure,https://www.domainelescure.fr/,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine de l'Hortus,,contact@domaine-hortus.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château de Lascaux,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Mas Bruguière,,xavier.bruguiere@wanadoo.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château La Roque,,"contact@chateau-laroque.fr, n.romanchenko@chateau-laroque.fr",,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Clavel,,info@vins-clavel.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de Mortiès,,contact@morties.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de Cazeneuve,,chateaudecazeneuve@orange.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Mas de la Séranne,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Saint Daumary,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Clos Marie,https://www.closmarie.com/contact,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de l'Aiguelière,,contact@aigueliere.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Puech-Haut,,contact@puech-haut.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Haut-Lirou,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Mas Gourdou,,contact@masgourdou.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château de Montferrand,https://chateaudemontferrand.fr/contact.html,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Les Grandes Costes,,contact@grandes-costes.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Foulaquier,https://boutique.masfoulaquier.fr/pages/contact,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Saint André de Figuière,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Mas d'Agalis,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine des Conquêtes,https://www.domainedesconquetes.fr/content/10-contact,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Mas des Chimères,,contact@masdeschimeres.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de Saumarez,https://www.domainedesaumarez.com/contact/,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de l'Oustal Blanc,,contact@loustalblanc.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de Fons Sanatis,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine du Mas de Rey,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine de Cassagnau,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine des Carabiniers,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Mas d'Agamas,,c.visseq@sfr.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Mas de la Plaine Haute,,contact@plaine-haute.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Mas de la Devèze,,contact@masdeladeveze.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine des Terres Dorées,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Ruet,,contact@ruet-beaujolais.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château de Nervers,,contact@chateaudenervers.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Dubost,,contact@domainedubost.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château de Pierreux,,contact@chateaudepierreux.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine des Combiers,,savoyelaurent@gmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Gérard Brisson,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Plaigne,,contact@domainedelaplaigne.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de Bel-Air,,jean-louis.loup@wanadoo.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Baron de l'Ecluse,,baron.delecluse2@orange.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Saint-Cyr,,email@beaujolais-saintcyr.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Bulliat,,eric.bulliat@wanadoo.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de Colette,,domainedecolette@gmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Nicolas Boudeau,,contact@nicolas-boudeau.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Voûte des Crozes,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine de Roche Guillon,,roche-guillon.coperet@wanadoo.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Cheysson,,domainecheysson@orange.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château de la Terrière,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine les Roches Bleue,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine des Frères Perroud,https://www.freres-perroud.com/contact.php,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Paul Janin et Fils,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine de La Poyebade,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Coperet,,contact@domainegillescoperet.com,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine du Vissoux,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine de Briante,,contact@domainedebriante.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Crêt des Garanches,https://cretdesgaranches.fr/le-domaine/contact,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Jean-Marc Burgaud,,contact@jean-marc-burgaud.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Combe au Loup,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine des Pins,,jdesonis@domainedespins.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Grand'Cour,,contact@familledutraive.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Champier,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine La Bastide Blanche,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Pradeaux ,,secretariat@chateaupradeaux.com,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Ott,,bernhard@ott.at,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Gros'Noré,,domaine@gros-nore.com,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Bégude,,reservation@domainedelabegude.fr,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Ray-Jane,,domaine@ray-jane.fr,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Bunan - Moulin des Costes,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Vannières,,info@vannieres.com,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Tour du Bon,https://www.tourdubon.com/,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Souviou,,contact@souviou.com,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Sainte Anne,https://www.chateausainteanne.fr/adamas/,ca chelou un peu,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de Frégate,,accueil@domainedefregate.com,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine La Suffrène,,commercial@suffrene.fr,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Lafran-Veyrolles,,contact@lafran-veyrolles.com,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Dupuy de Lôme,https://dupuydelome.com/contact-acces/,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Garenne,https://www.domainedelagarenne.net/contact.html,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Font des Pères,https://shop.lafontdesperes.com/fr/nous-contacter,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de Cagueloup,,domainedecagueloup@gmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de l'Olivette,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Le Galantin,,domainelegalantin@gmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château de la Noblesse,,chateau.noblesse@gmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Saint Louis,,benoit@chateausaintlouis.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine des Baguiers,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Maubernard,,info@maubernard.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de L'Estagnol,,contact@domainedelestagnol.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Les Luquettes,,domainelesluquettes@gmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Vivonne,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Baratonne,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Sainte Marie des Crozes,,d.alias11@orange.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Roche Buissière,http://www.larochebuissiere.fr/page_contact.html,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine du Clos Naudin – Foreau,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine François et Julien Pinon,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Vincent Carême,https://vincentcareme.fr/contact/,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Le Capitaine,,contact@domainelecapitaine.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Marc Brédif,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine du Viking,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Rouletière,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Croix des Vainqueurs,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Grand Taille,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Allias,,domaine-allias@outlook.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Christophe Gaudron,,contact@christophegaudron.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine des Bergeons,https://domainedesbergeons.fr/index.php?page=MnuContact,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine des Cormiers Roux,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Freslier,,jean-pierre@domainefreslier.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Maison Darragon,https://www.maisondarragon.com/contact-vouvray-maison-darragon/,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Maison Peltier,,contact@maisonpeltier.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Morvan,,morvan.vinsdevouvray@hotmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Pierre Champion,https://www.pierre-champion-vouvray.fr/contact.html,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Vigneau-Chevreau,6 bouteilles de fines bulles historique Pétillant Brut,contact@vigneau-chevreau.com,,Validé,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Yvon et Pascal Tabordet,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Fontainerie,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Poultière,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Roche Moreau,,davy.larochemoreau@wanadoo.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Tuffière,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Vallée Coquette,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Vinçonnière,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Voûte,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de l'Épinay,https://www.domainedelepinay.com/contact/,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de l'Hermitage,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Philippe Brisebarre,,vignoble@brisebarre.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine des Aubuisières,,info@famillelebrumare.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine du Margalleau,,earl.pieaux@orange.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Pichot,,contact@domaine-pichot.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de l'Aumônerie,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Durandière,https://www.chateaudeladurandiere.fr/contact/,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Perruche,,tourisme@domainedelaperruche.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine du Petit Val,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Noblaie,,contact@lanoblaie.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Voarick,,domaine@michelvoarick.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château des Matards-Domaine de la Margotterie,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château les Bertrands,,chateau.les.bertrands@wanadoo.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Mondésir Gazin,,mondesirgazin@gmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Icla,,contact@chateau-icla.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Vieux Mougnac,,contact@vieuxmougnac.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Brethous,,chateaubrethous@gmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château des Cèdres,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château la Bertrande,,chateaulabertrande@hotmail.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Bellevue,,contact@chateaubellevue.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Vignobles Michel Bergey,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Chateau Brulesécaille,,contact@brulesecaille.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Chateau Martinat,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Lalande Labatut,,info@lalande-labatut.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Tour de Calens - Château Saint-Ange,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Carbon d'Artigues et Château la Passonne,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château de la Gravelière,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château de Porte Pères,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Pont de Brion,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Sirio,,contact@chateausirio.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Gûnes,https://www.chateau-gunes.fr/fr/contact/,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Altimar - Château Haut Chatain,,contact@chateau-altimar.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Belles-Graves,,x.piton@belles-graves.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Bourseau,,contact@vignoblesgaboriaud.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Haut-Goujon,,contact@chateauhautgoujon.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine du Grand Ormeau,,domainegrandormeau@gmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château du Cros,,info@chateauducros.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Haut Breton Larigaudière,,visites@chateau-hbl.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château le Coteau,https://chateaulecoteau.com/contact/,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Haut Mousseau - Château Pontac Gadet,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château l'Inclassable,,remy.fauchey@orange.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château la Gorce,,info@chateaulagorce.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Noaillac,,noaillac@noaillac.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Dutruch Grand Poujeaux,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Jean-Christophe Coubris,,contact@domainejccoubris.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château la Fon du Berger,,contact@vignoblesbouges.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château de France,,contact@chateau-de-france.com,,"Contacté, refus",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Lafargue Familles Leymarie et Peyrout,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château les grands Sillons - Château Côtes de Bonde,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Vignobles Garzaro,,contact@vignoblesgarzaro.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Vignobles Mouty Daniel,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Clarisse,,contact@chateau-clarisse.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Vignobles Poitou-Operie,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Vignobles Mallard,,contact@laurent-mallard.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Clos Saint Emilion Philippe,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Devillaire,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château la Grace Fonrazade,,persevero@lagracefonrazade.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château la Renomée Maine Reynaud,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Lagarde Bellevue - Chevalier des Anges,https://lagarde-bellevue.com/contact-sovifa.html,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château les Gravières,,denis.barraud@wanadoo.fr,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Milon - Clos de la Cure,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Moulin Bellegrave - Famille Mabileau,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Tour Grand Faure,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Clos des Abbesses,,clos.des.abbesses@gmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Clos Trimoulet,,contact@clos-trimoulet.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Vignobles Marcel Petit,,tcontact@vignobles-petit.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château de Come,,come@chateaudecome.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château Haut Coteau,,chateau.haut-coteau@wanadoo.fr,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
